Id,network,Label
contact,1,contact
thank,1,thank
associ,1,associ
disabl,1,disabl
businessperson,1,businessperson
owner,1,owner
enterpris,1,enterpris
peopl,1,peopl
regard,1,regard
urban,1,urban
assn,1,assn
1985,1,1985
found,1,found
success,1,success
busi,1,busi
self-employ,1,self-employ
rehabilit,1,rehabilit
dba,1,dba
counsel,1,counsel
organ,1,organ
provid,1,provid
inform,1,inform
profession,1,profession
career,1,career
recogn,1,recogn
charit,1,charit
all-volunt,1,all-volunt
nonprofit,1,nonprofit
membership,1,membership
support,1,support
free,1,free
author,1,author
assist,1,assist
inquiri,1,inquiri
servic,1,servic
mail,1,mail
individu,1,individu
vocat,1,vocat
receiv,1,receiv
request,1,request
world,1,world
opportun,1,opportun
mani,1,mani
nation,1,nation
larg,1,larg
lead,1,lead
forward,1,forward
look,1,look
respons,both,respons
good,1,good
miyar,1,miyar
san,1,san
state,1,state
diego,1,diego
dbanet@ix.netcom.com,1,dbanet@ix.netcom.com
univ,1,univ
-interwork,1,-interwork
institut,1,institut
februari,2,februari
face,2,face
26,2,26
dear,2,dear
kid,2,kid
overwhelm,2,overwhelm
1999,2,1999
same,2,same
today,2,today
reach,2,reach
need,2,need
depend,2,depend
be,2,be
pressur,2,pressur
home,2,home
gang,2,gang
drug,2,drug
youngster,2,youngster
find,2,find
often,2,often
feel,2,feel
alien,2,alien
alon,2,alon
where,2,where
come,2,come
high,2,high
develop,2,develop
boy,2,boy
club,2,club
girl,2,girl
indianapoli,2,indianapoli
open,2,open
repair,2,repair
facil,2,facil
out,2,out
grow,2,grow
disadvantag,2,disadvantag
neighborhood,2,neighborhood
risk,2,risk
chanc,2,chanc
give,2,give
realiz,2,realiz
generous,2,generous
potenti,2,potenti
own,2,own
place,2,place
sens,2,sens
compet,2,compet
use,2,use
influenc,2,influenc
belong,2,belong
five,2,five
area,2,area
accomplish,2,accomplish
avail,2,avail
staff,2,staff
get,2,get
tomorrow,2,tomorrow
program,2,program
money,2,money
citizen,2,citizen
car,2,car
cost,2,cost
equip,2,equip
improv,2,improv
contribut,2,contribut
year,2,year
last,2,last
help,2,help
count,2,count
now,2,now
gift,2,gift
consid,2,consid
respect,2,respect
presid,2,presid
jame,2,jame
deputi,2,deputi
campbel,2,campbel
board,2,board
chief,2,chief
depart,2,depart
polic,2,polic
detach,2,detach
return,2,return
unit,2,unit
way,2,way
agenc,2,agenc
pleas,2,pleas
envelop,2,envelop
enclos,2,enclos
