Id,network,Label
keep,1,keep
indianapoli,1,indianapoli
barn,1,barn
raymond,1,raymond
america,1,america
beauti,1,beauti
wednesday,1,wednesday
place,1,place
veri,1,veri
novemb,1,novemb
10,1,10
1999,1,1999
11:30am-1pm,1,11:30am-1pm
cordial,1,cordial
recognit,1,recognit
fifth,both,fifth
annual,1,annual
donor,1,donor
thornburg,1,thornburg
speaker,1,speaker
limit,1,limit
street,1,street
room,1,room
thank,1,thank
keynot,1,keynot
g/,1,g/
empson,1,empson
presid,1,presid
tami,1,tami
2,1,2
264-7555,1,264-7555
11,1,11
meridian,1,meridian
south,1,south
9th,1,9th
floor,1,floor
confer,1,confer
communiti,1,communiti
good,1,good
forward,1,forward
look,1,look
see,1,see
space,1,space
event,1,event
rsvp,1,rsvp
jackson,1,jackson
tuesday,1,tuesday
ext,1,ext
juli,2,juli
citi,2,citi
3,2,3
1991,2,1991
address,2,address
st,2,st
januari,2,januari
28,2,28
name,2,name
crisi,2,crisi
attempt,2,attempt
encourag,2,encourag
dear,2,dear
zip,2,zip
attend,2,attend
ceremoni,2,ceremoni
remember,2,remember
iupui,2,iupui
commit,2,commit
astronaut,2,astronaut
present,2,present
challeng,2,challeng
scholar,2,scholar
honor,2,honor
scholarship,2,scholarship
progrb,2,progrb
award,2,award
receiv,2,receiv
year,2,year
involv,2,involv
order,2,order
three,2,three
new,2,new
chose,2,chose
work,2,work
first,2,first
mcnair,2,mcnair
ronald,2,ronald
sens,2,sens
temper,2,temper
joy,2,joy
intrus,2,intrus
undeni,2,undeni
war,2,war
gulf,2,gulf
be,2,be
persian,2,persian
face,2,face
sober,2,sober
here,2,here
way,2,way
remind,2,remind
p.s,2,p.s
teresa,2,teresa
back,2,back
safe,2,safe
write,2,write
morehead,2,morehead
serv,2,serv
major,2,major
ship,2,ship
biolog,2,biolog
hospit,2,hospit
storm,2,storm
oper,2,oper
desert,2,desert
program,2,program
memori,2,memori
continu,2,continu
great,2,great
man,2,man
woman,2,woman
die,2,die
disast,2,disast
five,2,five
support,2,support
success,2,success
last,2,last
four,2,four
sever,2,sever
student,2,student
technolog,2,technolog
educ,2,educ
level,2,level
outstand,2,outstand
scienc,2,scienc
bright,2,bright
becom,2,becom
abil,2,abil
choos,2,choos
wright,2,wright
elementari,2,elementari
michael,2,michael
professor,2,professor
career,2,career
pursu,2,pursu
teach,2,teach
path,2,path
laboratori,2,laboratori
again,2,again
excel,2,excel
nation,2,nation
clear,2,clear
small,2,small
desir,2,desir
dedic,2,dedic
extend,2,extend
knowledg,2,knowledg
classroom,2,classroom
teacher,2,teacher
today,2,today
part,2,part
promis,2,promis
sourc,2,sourc
critic,2,critic
unimagin,2,unimagin
danger,2,danger
recipi,2,recipi
fellow,2,fellow
cynthia,2,cynthia
penni,2,penni
brown,2,brown
physic,2,physic
sandra,2,sandra
van,2,van
impress,2,impress
vlyman,2,vlyman
futur,2,futur
hold,2,hold
touch,2,touch
eric,2,eric
hiatt,2,hiatt
current,2,current
doctor,2,doctor
geolog,2,geolog
degre,2,degre
univers,2,univers
colorado,2,colorado
boulder,2,boulder
inspir,2,inspir
introductori,2,introductori
past,2,past
feel,2,feel
remiss,2,remiss
tuition/fe,2,tuition/fe
stipend,2,stipend
$1000,2,$1000
generos,2,generos
accomplish,2,accomplish
individu,2,individu
combin,2,combin
campus,2,campus
alloc,2,alloc
school,2,school
gran,2,gran
indic,2,indic
renow,2,renow
gift,2,gift
help,2,help
make,2,make
deduct,2,deduct
know,2,know
sincer,2,sincer
cohen,2,cohen
recogn,2,recogn
onli,2,onli
interest,2,interest
contact,2,contact
offic,2,offic
274-3711,2,274-3711
payrol,2,payrol
iu,2,iu
foundat,2,foundat
